event,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aerospace Valley Regional,,,,,,,,,0
Alamo Regional,,0.333333333,0,0.333333333,0.666666667,0,0.333333333,0,0.333333333
Arizona Regionals,0,0,0,0,0,0,0.5,0,0
Arkansas Rock City Regional,,,,,0.333333333,0,0,0.333333333,0
Bayou Regional,0,0,0,0,0.5,0,0.333333333,0.5,0
Boilermaker Regional,0,0,0,0,0,,,,
Boston Regional,0,0,0,0,,,,,
Brazos Valley Regional,,,,,,,,0,
Buckeye Regional,0.333333333,0.333333333,0.333333333,0,0,0,0.333333333,0.666666667,0
Canadian Pacific Regional,,,,,,,,,0
Canadian Rockies Regional,,,,,,,,,0
Central Illinois Regional,,,,,0,0,0,0.5,0.333333333
Central New York Regional,,,,,,,,,0
Central Valley Regional,,,0,0,0,0,0,0,0
Central Washington Regional,,,,0,,,,,
Chesapeake Regional,0,0,0.333333333,0,0,0,0,0.2,0
Colorado Regional,0,0,0,0,0,0,0,0,0
Connecticut Regional,,,,0,,,,,
Connecticut Regional,0,0,0,,,,,,
Crossroads Regional,,,,0,0,,,,
Dallas Regionals,0,0,0,0,0.333333333,0,0,0,0
El Paso Regional,,,,,,,,,0.333333333
Festival de Robotique - Montreal Regional,,,0.333333333,0,0.333333333,0,0.333333333,0,0
Finger Lakes Regional,0,0,0,0,0,0,0,0,0.333333333
FIRST Mid-Atlantic DCMP,,,0,0,0,0,0.2,0,0
FIRST Ontario DCMP,,,,,,,,0.2,0.2
Florida Regional,0,0,,,,,,,
Georgia Southern Classic Regional,,,,,,0,,,
Granite State Regional,0,0,0,0,,,,,
Great Northern Regional,,,,,,,,,0.333333333
Greater DC Regional,0,0,0,0,0,0,,,
Greater Kansas City Regional,0,0,0,0,0,0,0,0,0
Greater Pittsburgh Regional,,,,,0,0,0.333333333,0,0
Greater Toronto Regional,0,0,0.333333333,0,0,0.166666667,0,,
Hawaii Regional,0,0.333333333,0,0,0,0.333333333,0,0.333333333,0
Heartland Regional,,,,,,,,,0
Hub City Regional,,,,0,0.333333333,0,0,0,0.333333333
Hudson Valley Regional,,,,,,,,0,0.333333333
Idaho Regional,,,,,,,0,0,0
Indiana State Championship,,,,,,0,0,0,0.333333333
Inland Empire Regional,,,,0.333333333,0,0.5,,,
Iowa Regional,,,,,,,0,0.666666667,0
Israel Regional/DCMP,0,0,0,0,0.333333333,0.333333333,0.666666667,0.25,0.5
Istanbul Regional,,,,,,,,,0
Laguna Regional,,,,,,,,0,0
Lake Superior Regional,,0,0,0,0,0,0,0,0.333333333
Las Vegas Regional,0,0.333333333,0,0,0,0.333333333,0.333333333,0,0
Lone Star Regional,0,0,0,0.333333333,0,0.666666667,0,0,0.333333333
Los Angeles Regional,0,0,0,0,0,0.333333333,0.333333333,0,0
Medtronic Foundation Regional,,,,,,,,,0.333333333
Mexico City Regional ,,,,,0,1,0,,
Miami Valley Regional,,,,,,,,0.666666667,0
Michigan FRC State Championship,0.25,0,0,0,0.2,0,0,0.25,0.25
Midwest Regional,0,0,0,0,0,0,0,0,0
Minnesota 10000 Lakes Regional,0,0,0,0,0,0,0,0,
Minnesota North Star Regional,0,0,0,0,0,0,0,0.5,0
Monterrey Regional,,,,,,,,,0.666666667
New England DCMP,,,,,0,0.125,0,0,0
New Jersey Regional,0,0,,,,,,,
New York City Regional,0.333333333,0.333333333,0,0,0,0,0,0,0
New York Tech Valley Regional,,,,,0,0.333333333,0.333333333,0,0
North Bay Regional,,,,,0,0,0,,
North Carolina Regional/DCMP,0,0,0,0,0,0,0,0,0
Northern Lights Regional,,,,0,0.333333333,0,0,0.333333333,0
Oklahoma Regional ,0,0,0,0,0.333333333,,0,0.333333333,0
Orange County Regional,,,,,,,0,0.333333333,0
Oregon Regional,0,0,0,0.333333333,,,,,
Orlando Regional,,,0,0.333333333,0,0,0,0.666666667,0.333333333
Pacific Northwest DCMP,,,,,0,0,0.166666667,0.142857143,0
Palmetto Regional,0,0,0,0.333333333,0,0,0,0.333333333,0.5
Peachtree Regional/DCMP,0,0,0,0,0,0,0,0,0.166666667
Philadelphia Regional,0.333333333,0,,,,,,,
Pine Tree Regional,,,,0,,,,,
Pittsburgh Regional,0.333333333,0.333333333,0,0,,,,,
Queen City Regional,,,0,0,0.333333333,0,0.333333333,,
Razorback Regional,,,,0,,,,,
Rocket City Regional,,,,,,,0,0,0.333333333
Sacramento Regional,0,0,0,0,0,0,0,0,0.333333333
San Diego Regional,0,0,0,0.333333333,0,0,0,0,0
San Francisco Regional,,,,,,,,0,0
SBPLI Long Island Regionals,0,0,0,0,0,0,0,0,0.166666667
Seattle Regionals,0,0,0,0,,,,,
Seven Rivers Regional,,,,,,,,0.333333333,0
Shanghai Regional,,,,,,,,,0
Shenzhen Regional,,,,,,,,0,0
Silicon Valley Regional,0,0,0,0,0,0,0,0,0
Smoky Mountains Regional,,0,0,0,0,0,0,0,0
South Florida Regional,,,0,0,0,0,0.333333333,0,0
South Pacific Regional,,,,,,0.333333333,0,0.333333333,0
Southern Cross Regional,,,,,,,,0.333333333,0
Spokane Regional,,,0,0,,,,,
St. Louis Regional,0,0,0,0,0,0,0,0,0
Toluca Regional,,,,,,,,0.333333333,
Utah Regional,0,0,0,0,0,0,0.333333333,0,0.333333333
Ventura Regional,,,,,,0,0,0,0
Virginia Regional,0,0,0,0.333333333,0.333333333,0,,,
Waterloo Regional,0,0,0.333333333,0,0.333333333,0,0,,
Western Canada Regional,,,,0,0,0,0.333333333,0,
Windsor Essex Great Lakes Regional,,,,,0.333333333,0.333333333,0,,
Wisconsin Regional,0,0,0,0,0,0.333333333,0,0,0
WPI Regional,0,0,0,0,,,,,
