City,Lat,Lng
Chicago,41.8832,-87.6324
Orlando,28.5383,-81.3789
Las Vegas,36.1691,-115.1406
Atlanta,33.7485,-84.3915
New Orleans,29.9518,-90.0746
St. Louis,38.6270,-90.1994
San Diego,32.7150,-117.1625
Detroit,42.3329,-83.0478
Washington,38.9072,-77.0369
Cleveland,41.4822,-81.6697
Denver,39.7392,-104.9903
Nashville,36.1667,-86.7833
Dallas,32.7758,-96.7967
San Francisco,37.7749,-122.4194
Philadelphia,39.9500,-75.1667
Houston,29.7628,-95.3831
New York,40.7130,-74.0072
Columbus,39.9833,-82.9833
Anaheim,33.8345,-117.9156
San Antonio,29.4167,-98.5000
Pittsburgh,40.4422,-79.9950
Indianapolis,39.7910,-86.1480
Baltimore,39.2833,-76.6167
Louisville,38.2500,-85.7667
Omaha,41.2500,-96.0000
Rosemont,41.9908,-87.8739
Miami Beach,25.8130,-80.1341
Atlantic City,39.3606,-74.4319
Portland,45.5200,-122.6819
Boston,42.3581,-71.0636
Phoenix,33.4500,-112.0667
Austin,30.2650,-97.7466
Los Angeles,34.0522,-118.2433
Charlotte,35.2238,-80.8411
Kansas City,39.0997,-94.5783
Salt Lake City,40.7500,-111.8833
Tampa,27.9474,-82.4588
San Jose,37.3333,-121.9000
Raleigh,35.7806,-78.6389
Seattle,47.6032,-122.3303
Jacksonville,30.3369,-81.6614
Milwaukee,43.0500,-87.9500
Grand Rapids,42.9655,-85.6702
Hartford,41.7658,-72.6734
Ocean City,38.3914,-75.0697
Reno,39.5272,-119.8219
