City,Avg Duration,Lat,Lng
Los Angeles,8.120714382716049,34.0522,-118.2433
Anaheim,8.264970185185186,33.8345,-117.9156
San Diego,8.458040331196582,32.7150,-117.1625
Detroit,9.323434213564209,42.3329,-83.0478
Cleveland,9.44914306341854,41.4822,-81.6697
San Jose,9.613289453297922,37.3333,-121.9000
San Francisco,9.707305833333335,37.7749,-122.4194
Las Vegas,9.8244425964426,36.1691,-115.1406
Baltimore,9.831033055390106,39.2833,-76.6167
Pittsburgh,9.83764448514448,40.4422,-79.9950
Philadelphia,9.877192138171385,39.9500,-75.1667
New York,9.920697755116485,40.7130,-74.0072
Seattle,9.940667945906425,47.6032,-122.3303
Columbus,10.014682175351535,39.9833,-82.9833
Washington,10.040926165295724,38.9072,-77.0369
Grand Rapids,10.15415048529993,42.9655,-85.6702
Hartford,10.41544732189874,41.7658,-72.6734
Chicago,10.56127725805569,41.8832,-87.6324
Atlantic City,10.588913293274304,39.3606,-74.4319
Indianapolis,10.70072317279258,39.7910,-86.1480
Rosemont,10.7806323569857,41.9908,-87.8739
Reno,10.909667750929373,39.5272,-119.8219
Boston,10.98259204833048,42.3581,-71.0636
Milwaukee,11.149272189871196,43.0500,-87.9500
Ocean City,11.303185470354068,38.3914,-75.0697
Louisville,11.44097585682045,38.2500,-85.7667
Portland,11.656336295418646,45.5200,-122.6819
San Antonio,11.8422809322034,29.4167,-98.5000
St. Louis,11.858357257463757,38.6270,-90.1994
Nashville,12.196315934848235,36.1667,-86.7833
Austin,12.215456589342745,30.2650,-97.7466
Raleigh,12.303589096974509,35.7806,-78.6389
Omaha,12.334132577475431,41.2500,-96.0000
Phoenix,12.441545480225985,33.4500,-112.0667
Kansas City,12.662757298274327,39.0997,-94.5783
Houston,12.776828122605362,29.7628,-95.3831
Charlotte,12.77832828007746,35.2238,-80.8411
Salt Lake City,13.222709066666667,40.7500,-111.8833
Atlanta,13.379975646879751,33.7485,-84.3915
Dallas,13.488572899595756,32.7758,-96.7967
Tampa,13.534729248641552,27.9474,-82.4588
Miami Beach,13.562513996554697,25.8130,-80.1341
Orlando,13.740290539452499,28.5383,-81.3789
New Orleans,14.679961851851854,29.9518,-90.0746
Jacksonville,14.987495555555551,30.3369,-81.6614
Denver,15.575768644166086,39.7392,-104.9903
