City,Duration,Lat,Lng
Chicago,16.428397634486092,41.8832,-87.6324
Indianapolis,16.516192102945908,39.7910,-86.1480
Rosemont,16.633611701488952,41.9908,-87.8739
Columbus,17.105063410582787,39.9833,-82.9833
Grand Rapids,17.108612832212607,42.9655,-85.6702
Louisville,17.146555245357018,38.2500,-85.7667
Detroit,17.16190348823247,42.3329,-83.0478
St. Louis,17.17224761847587,38.6270,-90.1994
Cleveland,17.374932166586635,41.4822,-81.6697
Milwaukee,17.55269181276017,43.0500,-87.9500
Nashville,18.100878482228612,36.1667,-86.7833
Pittsburgh,18.214516110310598,40.4422,-79.9950
Kansas City,18.373435688840868,39.0997,-94.5783
Omaha,18.662813830851753,41.2500,-96.0000
Washington,20.23487301873202,38.9072,-77.0369
Baltimore,20.267127391530583,39.2833,-76.6167
Atlanta,20.34127271453734,33.7485,-84.3915
Charlotte,20.701351154739026,35.2238,-80.8411
Philadelphia,21.040036943643933,39.9500,-75.1667
Raleigh,21.581345110870974,35.7806,-78.6389
New York,21.751584313960958,40.7130,-74.0072
Dallas,21.78911319244317,32.7758,-96.7967
Atlantic City,22.092116954851107,39.3606,-74.4319
Ocean City,22.50700753482228,38.3914,-75.0697
New Orleans,22.913674921950058,29.9518,-90.0746
Denver,23.209055095260975,39.7392,-104.9903
Hartford,23.259235340617998,41.7658,-72.6734
Houston,23.91498282901059,29.7628,-95.3831
Austin,24.098611101104687,30.2650,-97.7466
Jacksonville,24.252620206932452,30.3369,-81.6614
Boston,24.89784417026896,42.3581,-71.0636
San Antonio,24.962812439961603,29.4167,-98.5000
Orlando,26.20844686599424,28.5383,-81.3789
Tampa,26.801800672430392,27.9474,-82.4588
Salt Lake City,27.578665055635586,40.7500,-111.8833
Miami Beach,30.132956582212614,25.8130,-80.1341
Phoenix,30.77597029098624,33.4500,-112.0667
Las Vegas,30.905987341898847,36.1691,-115.1406
Reno,33.809927803794444,39.5272,-119.8219
Anaheim,34.06285760886967,33.8345,-117.9156
Los Angeles,34.13099027377522,34.0522,-118.2433
San Diego,34.84171737912266,32.7150,-117.1625
San Francisco,36.490454590938164,37.7749,-122.4194
San Jose,36.65670214937562,37.3333,-121.9000
Portland,37.52608508445398,45.5200,-122.6819
Seattle,37.9692959394012,47.6032,-122.3303
